negara,tahun,total_penduduk,Perdagangan barang (% dari PDB),"Populasi, total",Pertumbuhan populasi (% tahunan),"Tingkat kesuburan, total (kelahiran per wanita).","Harapan hidup saat lahir, total (tahun)","Angka kematian, bayi (per 1.000 kelahiran hidup)",Migrasi bersih,"Pengangguran, total (% dari angkatan kerja total)",Rasio jumlah masyarakat miskin pada garis kemiskinan nasional (% dari populasi),Indeks GINI,"Rasio jumlah masyarakat miskin pada $1,90 per hari (PPP) (% dari populasi)",Distribusi inkam yang dipegang oleh 20% terendah,"Imunisasi, campak (% dari anak usia 12-23 bulan)","Angka kematian, balita (per 1.000 kelahiran hidup)","Prevalensi HIV, total (% dari populasi usia 15-49)","INB per kapita, PPP (mata uang $ internasional)","INB per kapita, metode Atlas (mata uang US$)","INB, PPP (mata uang $ internasional)","INB, metode Atlas (mata uang US$)","PDB per kapita, PPP (mata uang $ internasional)",PDB per kapita (mata uang US$),Pertumbuhan PDB (% tahunan),PDB (mata uang US$),"Inflasi, deflator PDB (% tahunan)","Industri, nilai tambah (% dari PDB)","Pertanian, nilai tambah (% dari PDB)",Impor barang dan jasa (% dari PDB),Formasi modal bruto (% dari PDB),Ekspor barang dan jasa (% dari PDB),Pengeluaran militer (% dari PDB),Langganan telepon seluler (per 100 orang),"Inflasi, harga konsumen (% tahunan)","Jasa utang total (% dari ekspor barang, jasa dan pendapatan utama)",Bantuan pembangunan resmi bersih yang diterima (mata uang US$),"Stok utang luar negeri, total (DOD, mata uang US$)","Penarikan pribadi, diterima (mata uang US$)","Investasi langsung asing, arus masuk bersih (BoP, mata uang US$)"
Indonesia,2000,214072421.0,66.05098262,214072421.0,1.447088484,2.536,66.433,41.0,-42697.0,6.08,19.1,29.5,43.6,9.4,76.0,52.2,0.1,4370.0,570.0,935805000000.0,122450000000.0,4681.91945,770.8653516,4.920067747,165021000000.0,20.44745685,41.96907464,15.67870444,30.45956744,22.24569693,40.97730847,0.684483764,1.714058712,3.68861916,22.84766312,1645430054.0,144049000000.0,1190200000.0,-4550355286.0
Indonesia,2001,217112437.0,59.1441603,217112437.0,1.410098855,2.497,66.758,39.4,-64261.0,6.08,18.4,30.0,39.9,9.4,76.0,49.9,0.1,4710.0,710.0,1022800000000.0,154215000000.0,4892.352515,739.0039465,3.643466447,160447000000.0,14.29571544,47.89350079,15.99491776,30.76106843,22.53926632,39.0321391,0.572792653,3.003488464,11.50011488,23.95804259,1458180054.0,132710000000.0,1046000000.0,-2977391857.0
Indonesia,2002,220115092.0,49.83425096,220115092.0,1.373519281,2.456,67.134,37.8,-83985.0,6.6,18.2,32.8,26.8,8.8,72.0,47.6,0.1,4970.0,780.0,1093550000000.0,172499000000.0,5121.33454,888.9013897,4.499475391,195661000000.0,5.896051693,47.74533116,16.31966897,26.39184088,21.40407021,32.68762089,0.700120209,5.31540109,11.90011757,25.22533013,1296010010.0,128444000000.0,1258917563.0,145085548.7
Indonesia,2003,223080121.0,45.27958614,223080121.0,1.338043891,2.428,67.413,36.4,-97733.0,6.66,17.4,33.0,26.4,8.6,74.0,45.5,0.1,5190.0,890.0,1158180000000.0,198234000000.0,5399.32871,1052.413199,4.780369122,234772000000.0,5.487429138,43.74956609,15.18534822,23.13883897,25.59849839,30.47765478,0.909285037,8.290855733,6.757317194,26.32374683,1738630005.0,134373000000.0,1488709351.0,-596923827.8
Indonesia,2004,225938595.0,48.91976662,225938595.0,1.273226489,2.418,65.75,37.1,-102669.0,7.3,16.7,33.9,27.0,8.2,76.0,49.6,0.1,5490.0,1070.0,1239430000000.0,241393000000.0,5749.521451,1136.755211,5.030873945,256837000000.0,8.550727032,44.62761598,14.3357803,27.54460022,24.05636637,32.21669462,0.945714622,13.42692564,6.064059885,25.46740401,97559997.56,138042000000.0,1866314990.0,1896082770.0
Indonesia,2005,228805144.0,56.92160301,228805144.0,1.260748296,2.433,67.649,33.6,-102380.0,7.94,16.0,34.1,24.6,8.2,77.0,41.7,0.2,5890.0,1210.0,1347140000000.0,276759000000.0,6188.855532,1249.397689,5.692571304,285869000000.0,14.33178708,46.54105887,13.12661864,29.92066824,25.08140994,34.06726763,0.750789394,20.5021492,10.45319842,20.90621741,2489000000.0,142132000000.0,5419620729.0,8336257208.0
Indonesia,2006,231797427.0,50.51889628,231797427.0,1.299308899,2.453,67.914,32.4,-101108.0,7.55,17.8,35.3,30.6,7.9,79.0,39.9,0.2,6360.0,1360.0,1474420000000.0,315565000000.0,6643.880722,1572.797934,5.500951785,364571000000.0,14.08742442,46.94355874,12.97380272,25.6224105,25.40021729,31.03471631,0.658702778,27.52533357,13.1086721,25.74919014,1229969971.0,135970000000.0,5722357517.0,4914201435.0
Indonesia,2007,234858289.0,48.84447583,234858289.0,1.311847596,2.491,68.189,31.2,-103121.0,8.06,16.6,36.7,25.2,7.6,76.0,38.3,0.2,6870.0,1580.0,1612840000000.0,371909000000.0,7161.810728,1840.329927,6.345022227,432217000000.0,11.25857853,46.79914152,13.7166831,25.39353149,24.92028385,29.43571849,0.712361931,39.76307645,6.406562813,19.05711911,737039978.0,147827000000.0,6174340000.0,6928480000.0
Indonesia,2008,237936543.0,52.35770431,237936543.0,1.302170535,2.479,68.226,30.1,-108492.0,7.21,15.4,36.1,24.7,7.7,76.0,36.7,0.2,7370.0,1920.0,1752780000000.0,457090000000.0,7638.009575,2144.389544,6.0137036,510229000000.0,18.14975125,48.06074477,14.48174026,28.75311546,27.81624458,29.80828417,0.578945804,59.08224127,10.22666455,14.48359173,1145670044.0,157916000000.0,6794200933.0,9318453650.0
Indonesia,2009,240981299.0,39.55520333,240981299.0,1.27153209,2.459,68.494,29.0,-98211.0,6.11,14.1,36.0,21.0,7.8,74.0,35.3,0.3,7660.0,2130.0,1846690000000.0,512966000000.0,7941.166333,2239.095265,4.628871183,539580000000.0,8.274752432,47.65212258,15.29014815,21.3530017,30.98519241,24.15911967,0.571133892,67.92102195,4.38641555,19.56687617,902690002.4,179405000000.0,6792907280.0,4877369178.0
Indonesia,2010,244016173.0,38.86164341,244016173.0,1.251517291,2.452,68.679,27.9,-77010.0,5.61,13.3,37.2,18.3,7.4,78.0,33.9,0.3,8210.0,2510.0,2002430000000.0,612254000000.0,8430.615417,3094.44309,6.223854181,755094000000.0,15.26429366,42.77586634,13.92921271,22.40224294,32.88012145,24.29903094,0.617587092,86.58861927,5.134204008,18.72754396,1323760010.0,198278000000.0,6916051073.0,15292009411.0
Indonesia,2011,247099697.0,42.65914651,247099697.0,1.255738089,2.499,68.823,26.9,-54051.0,5.15,12.5,40.5,15.7,6.9,80.0,32.5,0.3,8770.0,2990.0,2167770000000.0,737717000000.0,9022.72138,3613.800902,6.169784208,892969000000.0,7.465943034,43.91342343,13.51228707,23.8526601,32.98433326,26.32735309,0.653776703,101.095073,5.35604779,14.41399914,358109985.4,219629000000.0,6923970511.0,20564938227.0
Indonesia,2012,250222695.0,41.58791957,250222695.0,1.255941458,2.49,68.973,25.9,-38499.0,4.47,12.0,40.5,13.7,7.0,82.0,31.2,0.3,9370.0,3550.0,2345310000000.0,889279000000.0,9645.149197,3668.21207,6.030050653,917870000000.0,3.753878753,43.59374442,13.37397424,24.98851951,35.07159361,24.59437879,0.711549473,112.6850884,4.279499996,17.43003316,69010002.14,252623000000.0,7212196578.0,21200778608.0
Indonesia,2013,253275918.0,40.45712164,253275918.0,1.21281781,2.427,69.264,25.0,-36670.0,4.34,11.4,40.8,11.2,7.0,87.0,30.0,0.3,9710.0,3710.0,2459270000000.0,939755000000.0,10009.0107,3602.885517,5.557263689,912524000000.0,4.965990291,42.63567744,13.35669916,24.7137963,33.83135679,23.92357638,0.918769839,123.6702315,6.412513302,19.96524081,69470001.22,263644000000.0,7614419340.0,23281742362.0
Indonesia,2014,256229761.0,39.79188691,256229761.0,1.159506642,2.389,69.533,24.1,-37324.0,4.05,11.3,40.2,9.3,7.0,86.0,28.8,0.3,9890.0,3600.0,2534330000000.0,922996000000.0,10233.98527,3476.624853,5.006668426,890815000000.0,5.443174549,41.92834213,13.336755,24.41419099,34.60034391,23.6659846,0.777855178,127.0667453,6.394925408,29.91739054,-381940002.4,292565000000.0,8551164469.0,25120732060.0
Indonesia,2015,259091970.0,34.04304562,259091970.0,1.110854932,2.345,69.699,23.2,-37991.0,4.51,11.2,40.4,8.3,6.9,87.0,27.7,0.4,9880.0,3420.0,2559880000000.0,886547000000.0,10219.17641,3322.581688,4.8763223,860854000000.0,3.98024266,40.0478624,13.49264356,20.77746098,34.06279218,21.16017926,0.882266734,130.8216306,6.363121131,34.60619961,-28459999.08,307749000000.0,9659168639.0,19779127977.0
Indonesia,2016,261850182.0,30.06221749,261850182.0,1.058942059,2.309,69.798,22.4,-38653.0,4.3,10.9,39.3,7.5,6.8,88.0,26.6,0.4,10150.0,3400.0,2657030000000.0,890494000000.0,10482.699,3558.818852,5.033069183,931877000000.0,2.438924087,39.30844398,13.47874855,18.33234795,33.8587393,19.08899385,0.792220213,147.24962,3.525805157,37.47857528,-108279998.8,318942000000.0,8906655811.0,4541713739.0
Indonesia,2017,264498852.0,32.0726653,264498852.0,1.006439524,2.262,69.936,21.6,-39282.0,3.78,10.6,38.8,6.6,6.7,90.0,25.6,0.4,10600.0,3530.0,2802420000000.0,934208000000.0,10941.92095,3839.785069,5.069785901,1015620000000.0,4.292678122,39.3791548,13.15663085,19.17819264,33.7105948,20.17730444,0.865191376,164.5351584,3.80879807,29.43508718,280190002.4,353564000000.0,8989529971.0,20510310832.0
Indonesia,2018,267066843.0,35.38732365,267066843.0,0.966206436,2.234,70.338,20.8,-39878.0,4.39,9.8,38.4,5.4,6.8,89.0,24.6,0.4,11320.0,3850.0,3023720000000.0,1028160000000.0,11669.71728,3902.661668,5.17429154,1042270000000.0,3.818323569,39.72973745,12.80849756,22.07156246,34.57058583,21.0027465,0.718949727,119.6084851,3.198346416,25.07242782,962690002.4,379589000000.0,11215344812.0,18909826044.0
Indonesia,2019,269582878.0,30.288539,269582878.0,0.937689274,2.215,70.518,20.1,-40567.0,3.59,9.4,37.6,4.4,7.1,88.0,23.8,0.4,11980.0,4070.0,3230290000000.0,1096630000000.0,12358.24225,4151.227543,5.01928768,1119100000000.0,1.5984885,38.951768,12.71260266,19.03624974,33.78014238,18.5915278,0.728504562,126.5946679,3.03058665,39.41267951,-693369995.1,402106000000.0,11666395059.0,24993551748.0
Indonesia,2020,271857970.0,28.80241682,271857970.0,0.840389268,2.194,68.808,19.5,-24999.0,4.25,9.8,37.6,3.8,7.1,76.0,22.9,0.4,11820.0,3900.0,3213900000000.0,1059880000000.0,12146.40679,3894.272202,-2.065004941,1058690000000.0,-0.436578123,38.25160517,13.70246601,15.70417423,32.35459061,17.27142134,0.859788806,130.8110952,1.920968006,36.70143926,1209829956.0,417046000000.0,9650926142.0,19175077748.0
Indonesia,2021,273753191.0,36.05923002,273753191.0,0.694717688,2.175,67.57,18.9,-14992.0,3.83,10.1,37.9,3.5,7.0,72.0,22.2,0.3,12680.0,4180.0,3471170000000.0,1143080000000.0,13027.30061,4332.709281,3.691240112,1186090000000.0,6.015274347,39.8587969,13.28068349,18.86195672,31.45992115,21.56081101,0.695925939,133.6505363,1.560129905,28.78405449,612380004.9,416471000000.0,9402427089.0,21213080330.0
Indonesia,2022,275361267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
